Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyHours,MonthlyWorkingHours,Salary_per_hour
48,No,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,3,No,21,4,2,1,15,3,1,0,0,0,0,8,176,71.04545454545455
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,4,Yes,13,3,1,2,13,2,3,7,7,6,7,10,220,27.154545454545456
30,No,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,7,Yes,12,3,2,1,4,2,4,2,2,2,2,10,220,21.527272727272727
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,1,No,17,3,2,1,8,3,3,8,7,7,7,8,176,30.09090909090909
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,3,No,23,4,2,0,14,6,3,1,0,0,0,8,176,38.52840909090909
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,1,Yes,11,3,3,0,3,3,3,3,2,1,2,10,220,9.881818181818181
36,No,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,4,No,15,3,2,0,7,6,3,1,0,0,0,8,176,37.80113636363637
36,No,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,4,No,11,3,1,1,16,2,3,13,9,1,12,8,176,55.10795454545455
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,2,No,11,3,3,0,15,2,3,3,2,1,2,8,176,38.38068181818182
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,3,Yes,13,3,3,1,10,3,3,7,7,1,7,10,220,10.059090909090909
21,No,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,1,No,24,4,3,0,3,3,2,3,2,2,2,8,176,14.829545454545455
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,1,Yes,13,3,2,0,1,2,3,1,0,0,0,10,220,12.959090909090909
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,6,No,20,4,2,1,17,3,3,5,4,0,3,8,176,19.613636363636363
46,No,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,2,No,14,3,3,0,7,2,4,1,0,0,0,8,176,29.875
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,1,No,18,3,3,0,8,5,3,8,7,7,7,8,176,53.15340909090909
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,6,No,15,3,4,0,20,2,3,4,3,1,3,8,176,59.63636363636363
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,2,Yes,12,3,1,2,8,6,3,6,4,1,0,10,220,29.0
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,0,Yes,16,3,4,0,3,5,3,2,2,2,2,10,220,12.077272727272728
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,1,No,15,3,4,0,1,0,3,1,0,0,0,8,176,15.431818181818182
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,9,No,16,3,4,0,6,4,3,3,2,1,2,8,176,12.505681818181818
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,9,No,19,3,3,0,10,5,3,1,1,0,0,8,176,37.15909090909091
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,1,No,11,3,2,1,5,2,3,5,2,0,4,8,176,21.681818181818183
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,1,No,16,3,4,0,7,1,3,7,5,0,7,8,176,29.84659090909091
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,8,No,24,4,3,0,26,2,3,5,2,0,0,8,176,62.30113636363637
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4,No,11,3,3,1,18,2,2,7,7,0,7,8,176,28.045454545454547
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,4,No,13,3,2,1,6,3,3,2,2,2,2,8,176,14.448863636363637
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,8,Yes,13,3,2,0,9,3,2,5,2,0,4,10,220,24.10909090909091
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,2,Yes,13,3,3,0,30,2,3,5,4,1,2,10,220,75.72272727272727
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,1,Yes,12,3,4,1,5,2,4,5,2,0,3,10,220,19.363636363636363
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,1,No,18,3,1,1,1,3,3,1,0,0,0,8,176,14.068181818181818
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,0,No,22,4,3,0,7,2,3,6,4,0,4,8,176,17.625
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,1,No,13,3,4,1,2,1,3,2,1,1,2,8,176,12.75
36,No,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,1,No,13,3,2,2,10,2,3,10,9,9,0,8,176,43.15909090909091
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,9,Yes,23,4,3,0,3,4,3,1,0,0,0,10,220,10.386363636363637
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,1,No,12,3,3,1,18,2,2,18,7,12,17,8,176,17.238636363636363
40,No,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,7,No,12,3,3,2,8,5,3,5,4,1,3,8,176,32.47159090909091
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,3,No,16,3,2,1,8,5,3,5,2,1,2,8,176,14.636363636363637
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,2,Yes,12,3,4,0,18,2,2,1,0,0,1,10,220,19.077272727272728
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,1,No,11,3,3,1,25,3,3,25,10,3,9,8,176,81.45454545454545
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,6,No,22,4,2,1,20,3,3,1,0,0,0,8,176,19.59090909090909
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,4,No,11,3,3,1,24,4,2,4,2,1,2,8,176,110.26136363636364
34,No,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,9,No,15,3,1,1,6,3,3,3,2,1,2,8,176,37.14772727272727
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,1,No,12,3,2,1,13,5,1,13,10,3,12,8,176,24.46590909090909
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,7,No,20,4,1,1,8,1,3,3,2,1,2,8,176,12.829545454545455
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4,Yes,14,3,4,0,8,3,3,5,2,0,2,10,220,20.554545454545455
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,1,Yes,11,3,2,0,5,3,3,5,4,1,3,10,220,20.395454545454545
37,No,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,3,Yes,15,3,1,2,15,2,3,13,11,10,7,10,220,20.222727272727273
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,1,No,12,3,3,1,4,3,3,4,2,3,2,8,176,12.602272727272727
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,1,Yes,14,3,3,1,21,3,3,21,8,1,6,10,220,87.25909090909092
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,9,No,11,3,4,3,36,0,2,7,7,7,7,8,176,75.06818181818181
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,0,No,11,3,2,0,6,6,3,5,4,4,4,8,176,37.36931818181818
41,No,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,1,No,16,3,3,1,10,2,3,10,7,0,7,8,176,47.68181818181818
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,1,No,12,3,4,1,10,2,3,10,0,1,8,8,176,25.897727272727273
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,5,No,13,3,3,1,6,5,3,2,2,0,2,8,176,22.90340909090909
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,2,Yes,14,3,3,0,28,4,3,5,4,0,4,10,220,36.222727272727276
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,3,No,21,4,4,2,8,3,2,2,2,0,2,8,176,15.079545454545455
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,2,No,13,3,4,0,31,2,1,5,2,1,4,8,176,94.0625
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,2,No,11,3,2,1,19,3,3,5,4,0,2,8,176,25.886363636363637
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,2,No,20,4,3,0,11,2,3,5,4,0,2,8,176,34.60795454545455
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,5,No,11,3,4,0,33,5,1,29,8,11,10,8,176,111.17045454545455
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,2,No,14,3,3,1,19,5,2,10,7,0,8,8,176,27.329545454545453
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,0,No,11,3,4,3,7,4,4,6,5,0,4,8,176,25.698863636363637
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,1,Yes,16,3,2,0,6,4,3,5,3,1,4,10,220,14.554545454545455
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,0,No,16,3,4,1,3,3,2,2,2,1,0,8,176,13.357954545454545
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1,Yes,23,4,3,1,1,3,3,1,0,0,0,10,220,7.736363636363636
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,0,No,14,3,4,0,21,2,3,20,15,1,12,8,176,102.50568181818181
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,1,No,22,4,2,2,3,3,1,3,2,0,2,8,176,16.397727272727273
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,4,No,15,3,3,1,9,3,1,5,3,1,4,8,176,11.914772727272727
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,1,No,18,3,3,0,10,2,3,10,2,0,7,8,176,67.8125
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,5,No,16,3,2,0,6,2,4,2,2,1,1,8,176,14.465909090909092
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,1,No,12,3,3,0,1,3,4,1,0,0,0,8,176,14.568181818181818
30,No,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,0,No,11,3,3,0,10,3,3,9,8,7,8,8,176,47.79545454545455
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,3,No,12,3,3,1,32,3,2,1,0,0,0,8,176,80.2159090909091
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,0,No,15,3,2,1,28,2,3,27,10,15,7,8,176,96.85227272727273
30,No,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,0,No,14,3,3,0,12,2,2,11,7,6,7,8,176,14.568181818181818
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,4,No,19,3,4,0,22,5,4,18,13,13,11,8,176,58.32954545454545
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5,No,13,3,3,3,20,2,3,5,0,0,4,8,176,28.806818181818183
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,6,No,13,3,3,0,26,2,1,3,2,0,1,8,176,101.48295454545455
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,0,No,15,3,3,0,6,2,3,5,4,4,3,8,176,24.03409090909091
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,7,No,11,3,3,0,19,3,3,1,0,0,0,8,176,21.477272727272727
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,3,No,12,3,3,1,14,3,3,7,3,5,7,8,176,15.727272727272727
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,2,Yes,19,3,3,1,15,3,3,3,2,1,2,10,220,41.231818181818184
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,1,No,25,4,4,1,13,6,4,13,8,0,8,8,176,60.5
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,7,Yes,12,3,4,0,15,2,4,7,6,7,7,10,220,61.86363636363637
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,7,No,13,3,1,3,8,2,3,4,3,1,3,8,176,19.363636363636363
30,No,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,0,No,14,3,1,0,4,3,3,3,2,1,2,8,176,16.948863636363637
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,4,Yes,12,3,3,0,10,2,3,8,7,0,0,10,220,34.69090909090909
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,3,No,12,3,1,0,12,2,3,1,0,0,0,8,176,55.81818181818182
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9,Yes,15,3,3,3,11,2,3,3,2,0,2,10,220,45.22727272727273
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,4,No,17,3,4,1,8,4,3,2,2,2,0,8,176,11.892045454545455
36,No,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,1,No,14,3,4,0,10,3,2,10,3,9,7,8,176,56.70454545454545
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,5,No,16,3,3,0,4,3,3,2,2,1,2,8,176,22.125
48,No,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,2,No,14,3,1,1,14,2,3,9,7,6,7,8,176,23.017045454545453
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,3,No,23,4,4,0,37,2,3,10,9,7,7,8,176,95.6534090909091
41,No,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,7,No,14,3,4,0,16,3,3,14,3,1,10,8,176,35.39772727272727
35,No,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,9,No,11,3,3,0,15,2,3,11,9,6,9,8,176,26.801136363636363
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,7,No,15,3,3,0,22,3,3,20,6,5,13,8,176,75.21022727272727
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,1,No,11,3,1,1,8,3,3,8,3,0,7,8,176,21.335227272727273
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,4,Yes,13,3,3,0,10,2,4,6,5,0,5,10,220,29.918181818181818
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,1,Yes,21,4,4,1,10,5,2,10,9,5,8,10,220,33.663636363636364
45,No,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,0,No,19,3,2,1,9,3,4,8,7,3,7,8,176,27.301136363636363
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,0,Yes,11,3,2,1,8,2,2,7,7,1,0,10,220,12.459090909090909
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4,No,12,3,2,2,8,2,4,3,2,1,2,8,176,24.21590909090909
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,4,No,19,3,3,1,10,2,3,6,1,0,5,8,176,91.95454545454545
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,9,No,21,4,3,1,10,3,2,5,4,0,1,8,176,65.66477272727273
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1,Yes,14,3,4,0,0,3,3,0,0,0,0,10,220,8.536363636363637
40,No,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,3,No,15,3,3,1,20,2,3,1,0,0,1,8,176,62.11363636363637
41,No,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,2,Yes,17,3,1,0,10,3,3,8,7,0,7,10,220,30.95909090909091
26,No,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,5,No,12,3,1,2,8,5,3,0,0,0,0,8,176,24.46590909090909
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,1,No,16,3,4,0,5,3,3,5,4,0,3,8,176,27.607954545454547
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,1,No,12,3,4,0,10,3,3,10,7,5,7,8,176,30.323863636363637
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,1,Yes,18,3,2,0,1,3,1,1,0,0,0,10,220,10.636363636363637
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,4,No,17,3,4,0,12,3,4,6,5,1,2,8,176,42.5625
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,5,No,11,3,4,0,28,3,2,2,2,1,2,8,176,59.8125
41,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,7,No,16,3,2,1,22,2,3,18,16,11,8,8,176,94.28977272727273
37,No,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,1,No,13,3,4,1,9,6,3,9,5,7,7,8,176,50.19318181818182
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,3,Yes,12,3,2,2,18,3,3,10,9,6,9,10,220,25.35
32,Yes,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,8,No,12,3,4,0,6,2,3,4,2,1,2,8,176,26.744318181818183
24,No,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,0,No,13,3,3,2,3,3,3,2,2,2,1,8,176,13.636363636363637
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,3,No,19,3,3,1,18,4,3,1,0,0,0,8,176,55.81818181818182
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,6,No,12,3,2,1,8,2,2,6,5,4,3,8,176,36.63068181818182
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,1,Yes,17,3,3,1,31,5,3,31,9,0,9,10,220,88.64545454545454
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,1,Yes,11,3,2,2,6,3,3,6,5,1,4,10,220,12.386363636363637
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,1,No,20,4,4,2,6,5,4,5,3,1,4,8,176,35.63636363636363
24,No,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,1,No,21,4,4,1,1,2,3,1,0,0,0,8,176,12.085227272727273
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,1,No,11,3,3,1,32,2,3,32,5,10,7,8,176,103.4090909090909
25,No,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,1,No,11,3,3,0,7,1,3,7,4,0,6,8,176,11.909090909090908
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,1,Yes,16,3,4,1,6,4,3,6,3,1,2,10,220,13.118181818181819
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,1,No,18,3,3,1,1,2,4,1,0,0,0,8,176,11.551136363636363
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,1,Yes,13,3,4,1,6,3,3,6,5,1,3,10,220,16.463636363636365
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,2,No,17,3,3,0,9,2,1,3,1,1,2,8,176,24.051136363636363
35,No,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,4,No,14,3,4,0,9,3,3,3,2,0,2,8,176,20.914772727272727
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,4,No,22,4,4,2,13,4,4,7,7,5,7,8,176,31.022727272727273
27,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,0,No,12,3,3,2,6,5,2,5,3,0,3,8,176,12.426136363636363
37,No,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,4,Yes,11,3,3,1,17,3,2,3,0,1,0,10,220,43.64545454545455
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,1,No,13,3,4,0,1,0,4,1,0,0,0,8,176,16.113636363636363
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,1,No,13,3,2,2,10,4,3,10,2,2,2,8,176,23.232954545454547
43,No,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,4,Yes,14,3,3,1,21,3,2,1,0,0,0,10,220,75.57727272727273
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,3,No,17,3,4,0,8,3,2,0,0,0,0,8,176,14.880681818181818
43,No,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,3,Yes,13,3,2,1,10,3,3,8,7,4,7,10,220,25.813636363636363
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,7,No,11,3,1,1,21,3,1,3,2,0,2,8,176,87.51136363636364
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,4,No,11,3,2,0,10,1,4,2,2,0,2,8,176,34.00568181818182
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,1,Yes,18,3,4,2,8,3,3,8,2,0,6,10,220,11.722727272727273
27,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,0,No,11,3,2,1,5,3,3,4,3,0,2,8,176,17.27840909090909
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,1,No,11,3,3,0,3,2,3,3,2,1,2,8,176,19.585227272727273
44,No,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,4,Yes,12,3,1,1,26,2,4,2,2,0,1,10,220,88.69545454545455
22,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,0,No,20,4,4,0,3,3,3,2,2,2,2,8,176,15.755681818181818
33,No,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,0,No,12,3,4,0,6,3,3,5,0,1,2,8,176,40.36363636363637
